dimensionId,schemaId,columnOrdinal,sourceHeader,canonicalName,category,definition,logicalDataType,identifierRole,hierarchyLevel,candidateStandardOrNamespace,linkageStatus,validationRules,recommendedUses,sensitivityClass,sourceBasis,evidenceUrls,reviewStatus
HMIS-DIM-014,HMIS-RPTSCHEMA-STATE-20260901-001,14,Format Type,format_type,Report context,HMIS reporting-format variant represented by the row.,categorical string,Schema discriminator,Report row,HMIS report-format vocabulary,Values pending profiling,Require when multiple formats occur; use with version and facility type to interpret codes.,Schema selection and valid comparison.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-015,HMIS-RPTSCHEMA-STATE-20260901-001,15,Facility Type,facility_type,Facility classification,Source-reported type of health facility or reporting unit.,categorical string,Facility classification,Facility,HMIS vocabulary; HFR crosswalk candidate,Vocabulary alignment pending,Profile exact values; validate compatibility with Format Type and facility identifiers.,Facility stratification and applicability.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://abdm.gov.in/health-facilities,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-016,HMIS-RPTSCHEMA-STATE-20260901-001,16,Facility Code,hmis_facility_code,Facility identity,HMIS or state-system code identifying the reporting facility.,string,System-specific facility key,Facility,HMIS/State facility-code namespace,Namespace and stability unconfirmed,Preserve as text; require Facility Name; never substitute NIN or HFR ID.,Join to the HMIS facility master.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-017,HMIS-RPTSCHEMA-STATE-20260901-001,17,Facility Name,facility_name,Facility identity,Source-reported name of the health facility or reporting unit.,string,Facility label,Facility,HMIS facility-master label,Cross-registry reconciliation pending,Require at least one facility identifier; retain aliases and historical names.,Display and facility-level QA.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-018,HMIS-RPTSCHEMA-STATE-20260901-001,18,Infacility Or Outreach Or Total,service_delivery_context,Report context,"Whether values describe in-facility activity, outreach activity or a combined total.",categorical string,Measure-context discriminator,Report row,HMIS report vocabulary,Values pending profiling,Prevent summing Total with in-facility/outreach components; retain raw value.,Interpretation and duplicate-count prevention.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-019,HMIS-RPTSCHEMA-STATE-20260901-001,19,Providing Outreach Service,providing_outreach_service,Service configuration,Whether the facility is recorded as providing outreach services.,boolean-like categorical,Service-capability flag,Facility,HMIS facility-master vocabulary,Values pending profiling,Map to true/false/unknown only after profiling; do not infer from activity values.,Outreach capability and denominator definition.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-020,HMIS-RPTSCHEMA-STATE-20260901-001,20,ULB Code,ulb_code,Administrative geography,Code identifying the urban local body associated with the row.,string,Geography key,Urban local body,Candidate LGD ULB code,Candidate—validate values against LGD,Preserve as text; require ULB Name; validate state/district parentage and period.,Urban linkage and aggregation.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://lgdirectory.gov.in/demo/downloadDirectory.do,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-021,HMIS-RPTSCHEMA-STATE-20260901-001,21,ULB Name,ulb_name,Administrative geography,Source-reported urban local body name.,string,Geography label,Urban local body,Candidate LGD ULB name,Label reconciliation pending,Require ULB Code; reconcile spelling and boundary changes against a dated reference.,Urban display and QA.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://lgdirectory.gov.in/demo/downloadDirectory.do,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-022,HMIS-RPTSCHEMA-STATE-20260901-001,22,Category,facility_category,Facility classification,Generic facility category whose distinction from Facility Type requires profiling.,categorical string,Facility classification,Facility,HMIS/State vocabulary,Meaning unresolved,Do not merge with Facility Type or District Category before inspecting values.,Potential facility stratification.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-023,HMIS-RPTSCHEMA-STATE-20260901-001,23,Ownership Classification,ownership_classification,Facility governance,Higher-level source classification of facility ownership.,categorical string,Governance classification,Facility,HMIS facility-master vocabulary,Values pending profiling,Reconcile with Ownership and Administrative Body; retain raw values.,Public/private and governance analysis.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-024,HMIS-RPTSCHEMA-STATE-20260901-001,24,Facility NIN Number,facility_nin,Facility identity,National Identification Number to Health Facility of India associated with the facility.,string,National facility identifier,Facility,MoHFW NIN-to-HFI,Directly named; value validation pending,Expected 10 digits per MoHFW; preserve leading zeros; test uniqueness; keep separate from HFR ID.,Cross-system facility linkage.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://nin.mohfw.gov.in/about_nin2hfi.php,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-025,HMIS-RPTSCHEMA-STATE-20260901-001,25,Rural/Urban,rural_urban,Geographic classification,Source rural/urban classification of the facility or reporting unit.,categorical string,Location classification,Facility,HMIS facility-master vocabulary,Values pending profiling,Retain raw value; do not infer solely from ULB fields.,Rural–urban stratification.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-026,HMIS-RPTSCHEMA-STATE-20260901-001,26,Ownership,ownership,Facility governance,Detailed source-reported ownership of the facility.,categorical string,Governance classification,Facility,HMIS facility-master vocabulary,Values pending profiling,Reconcile with Ownership Classification and Administrative Body; preserve unknown/other.,Ownership-specific analysis.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-027,HMIS-RPTSCHEMA-STATE-20260901-001,27,Physical/Notional,physical_notional,Facility status,Whether the unit is a physical establishment or a notional reporting entity.,categorical string,Entity-nature flag,Facility/reporting unit,HMIS facility-master vocabulary,Values pending profiling,Exclude notional units from physical facility counts unless an analytic rule says otherwise.,Denominator governance.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-028,HMIS-RPTSCHEMA-STATE-20260901-001,28,Status,facility_status,Facility status,Source-reported operational or registration status.,categorical string,Lifecycle status,Facility,HMIS facility-master vocabulary,Values pending profiling,Interpret with validity dates; blank end date alone does not prove active status.,Active-facility denominators.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-029,HMIS-RPTSCHEMA-STATE-20260901-001,29,Administrative Body,administrative_body,Facility governance,Organization or authority administratively responsible for the facility.,categorical string,Governance relationship,Facility,HMIS/State organization vocabulary,Values pending profiling,Keep administrative control separate from ownership; profile organizations first.,Accountability and network analysis.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-030,HMIS-RPTSCHEMA-STATE-20260901-001,30,Providing Ayush Services,providing_ayush_services,Service configuration,Whether AYUSH services are recorded as available at the facility.,boolean-like categorical,Service-capability flag,Facility,HMIS facility-master vocabulary,Values pending profiling,Map to true/false/unknown only after profiling; validate with AYUSH Stream.,AYUSH availability analysis.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-031,HMIS-RPTSCHEMA-STATE-20260901-001,31,Ayush Stream,ayush_stream,Service configuration,AYUSH system or stream available at the facility.,categorical or multi-valued string,Service classification,Facility,HMIS/AYUSH vocabulary,Values pending profiling,Determine whether multiple streams are delimited; require consistency with AYUSH service flag.,AYUSH service-mix analysis.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-032,HMIS-RPTSCHEMA-STATE-20260901-001,32,Co-located Ayush Facility,colocated_ayush_facility,Service configuration,Whether an AYUSH facility or service unit is co-located with the reporting facility.,boolean-like categorical,Co-location flag,Facility,HMIS facility-master vocabulary,Values pending profiling,Map only after profiling; do not infer from AYUSH service provision alone.,Co-location analysis.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-033,HMIS-RPTSCHEMA-STATE-20260901-001,33,HFR Id,hfr_id,Facility identity,Identifier associated with the ABDM Health Facility Registry.,string,National digital-health facility identifier,Facility,ABDM Health Facility Registry,Directly named; value validation pending,Preserve source representation; validate against HFR where permitted; keep separate from NIN and HMIS code.,ABDM and cross-system facility linkage.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://abdm.gov.in/health-facilities,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-034,HMIS-RPTSCHEMA-STATE-20260901-001,34,Active from date,active_from_date,Temporal validity,Date from which the facility/reporting-unit record is active.,date,Validity-start attribute,Facility/reporting-unit version,HMIS facility-master temporal field,Date convention unconfirmed,Retain raw text; parse only with confirmed locale; store ISO date separately; start must not follow end.,Time-valid joins and historical denominators.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-035,HMIS-RPTSCHEMA-STATE-20260901-001,35,Active to date,active_to_date,Temporal validity,Date through which the facility/reporting-unit record is active.,date or null,Validity-end attribute,Facility/reporting-unit version,HMIS facility-master temporal field,Date convention unconfirmed,Retain raw text; parse only with confirmed locale; blank does not prove active status.,Time-valid joins and closure analysis.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
