occurrenceId,canonicalElementId,sourceCode,sourceLabel,aggregationRule,zeroBlankSemantics,reportingUnitGuard,totalComponentGuard,temporalGuard,identifierGuard,status
HMIS-RPTCOL-STATE-0046,HMIS-DE-0497,1.2.4,Number of PW provided full course 180 Iron Folic Acid (IFA) tablets,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0047,HMIS-DE-0498,1.2.5,Number of PW provided full course 360 Calcium tablets,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0048,HMIS-DE-0490,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0049,HMIS-DE-0499,1.2.7,Number of PW received 4 or more ANC check ups,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0050,HMIS-DE-0489,1.2.8,Number of PW given ANC Corticosteroids in Pre-Term Labour,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0051,HMIS-DE-0251,1.3.1,New cases of PW with hypertension detected,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0052,HMIS-DE-0505,1.3.2,Number of PW with hypertension managed at institution,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0053,HMIS-DE-0424,1.3.3,Number of New Pre-Eclampsia/Eclampsia cases identified,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0054,HMIS-DE-0457,1.3.4,Number of Pre-Eclampsia/Eclampsia cases managed during ANC,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0055,HMIS-DE-0352,1.3.5,Number of Eclampsia cases managed during delivery,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0056,HMIS-DE-0501,1.4.1,Number of PW tested for Haemoglobin (Hb) 4 or more than 4 times for respective ANCs,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0057,HMIS-DE-0502,1.4.2,Number of PW tested for Haemoglobin (Hb),"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0058,HMIS-DE-0495,1.4.3,Number of PW having Hb level<11(7.1 to 10.9 g/dl) (Out of total tested cases),"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0059,HMIS-DE-0496,1.4.4,Number of PW having Hb level<=7 g/dl (Out of total tested cases),"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0060,HMIS-DE-0504,1.4.5,Number of PW treated for severe anaemia (Hb<=7g/dl) (including referred-in cases),"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0061,HMIS-DE-0500,1.5.1,Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0062,HMIS-DE-0503,1.5.2,Number of PW tested positive for GDM out of total OGTT(Oral Glucose Tolerance Test) conducted,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0063,HMIS-DE-0358,1.5.3,Number of GDM positive PW managed with Insulin/Metformin out of total tested positive for GDM,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0064,HMIS-DE-0485,1.6.1.a,Number of pregnant/Direct-In-Labor (DIL) women screened/tested (with VDRL/RPR/TPHA/RDT/PoC) for Syphilis,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0065,HMIS-DE-0483,1.6.1.b,Number of pregnant/DIL women found Seropositive for Syphilis by VDRL/RPR/TPHA/RDT/PoC test,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0066,HMIS-DE-0484,1.6.1.c,Number of pregnant/DIL women found Syphilis-Seropositive and given treatment with injection Benzathine Penicillin (IM),"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0067,HMIS-DE-0399,1.6.1.d,Number of live births among Syphilis Seropositive Pregnant Women,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0068,HMIS-DE-0290,1.6.1.e,Number of babies born to Syphilis-Seropositive Pregnant Women tested positive/ clinically diagnosed for congenital Syphilis,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0069,HMIS-DE-0538,1.6.1.f,"Out of above, babies with congenital Syphilis received curative treatment","Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0070,HMIS-DE-0478,1.7.1,Number of Pregnant Women tested positive for Thyroid disorder,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0071,HMIS-DE-0479,1.7.2,Number of Pregnant Women treated for thyroid disorder,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0072,HMIS-DE-0476,1.8.1,Number of Pregnant Women screened for TB,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0073,HMIS-DE-0468,1.8.2,Number of Pregnant Women identified with Presumptive TB symptoms,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0074,HMIS-DE-0475,1.8.3,Number of Pregnant Women referred out of those identified with Presumptive TB symptoms,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0075,HMIS-DE-0632,1.9.1,Total High Risk Pregnancy (HRP) Intrapartum including following:,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0076,HMIS-DE-0469,1.9.1.a,Number of Pregnant Women only with Post-Partum Haemorrhage(Immediately after delivery) in the facility,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0077,HMIS-DE-0470,1.9.1.b,Number of Pregnant Women only with Sepsis in the facility,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0078,HMIS-DE-0465,1.9.1.c,Number of Pregnant Women identified only with Eclampsia in the facility,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0079,HMIS-DE-0466,1.9.1.d,Number of Pregnant Women identified only with obstructed labour in the facility,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0080,HMIS-DE-0467,1.9.1.e,Number of Pregnant Women identified with more than 1 complication listed above,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0081,HMIS-DE-0631,1.9.2,Total High Risk Pregnancy (HRP) Antepartum (Only New Cases are to be reported),"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0082,HMIS-DE-0639,1.9.3,Total no. of highrisk ANC cases referred to Higher/ any other facility (Referred out),"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0083,HMIS-DE-0641,1.9.3.a,Total no. of Intrapartum/PNC High Risk Pregnancy cases referred to Higher/ any other facility (Referred out),"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0084,HMIS-DE-0638,1.9.4,Total no. of highrisk ANC cases referred in to the facility (Referred in),"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0085,HMIS-DE-0640,1.9.4.a,Total no. of Intrapartum/PNC High Risk Pregnancy cases attended or referred into the facility (Referred in),"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
