id,name,officialNameStatus,programmeComponent,measureType,scaleDisplay,normalizedFormula,denominatorPopulation,sourceDocument,sourceSection,sourceItemCode,sourcePage,reportingLevel,lowestReportingLevel,whoPillars,relatedElementIds,relatedIndicatorIds,crosswalkStatus,url
IND-UIP3-011,Sessions visited by supervisors,Verbatim source-table/text label,Session delivery and quality,Count,count,Source-defined aggregation or count,Not applicable—absolute number of sessions visited by supervisors,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-11,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,Service delivery; Health information systems; Health workforce,HMIS-DE-0149,,Curated concept link to existing registry/HMIS object; definitions remain separate,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-012,Caregiver responses regarding proactive mobilization efforts,Verbatim source-table/text label,Session delivery and quality,Percentage/proportion,%,(numerator ÷ denominator) × 100,Caregivers interviewed during monitoring,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-12,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-013,Reason analysis on non-availability of any vaccinator,Verbatim source-table/text label,Session delivery and quality,Index,categorical distribution,Source-defined assessment or summary statistic,Planned sessions without an available vaccinator,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-13,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,Service delivery; Health information systems; Health workforce,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-014,Dissemination of four key messages to caregivers.,Verbatim source-table/text label,Session delivery and quality,Percentage/proportion,%,(numerator ÷ denominator) × 100,Caregivers interviewed after vaccination,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-14,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-015,ANM days planned/ utilized,Verbatim source-table/text label,Session delivery and quality,Ratio,ratio,numerator ÷ denominator,ANM-days planned,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-15,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,Service delivery; Health information systems; Health workforce,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-016,Percentage of vacant sub centers with deployment of ANM,Verbatim source-table/text label,Session delivery and quality,Percentage/proportion,%,(numerator ÷ denominator) × 100,Vacant sub-centres requiring ANM deployment,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-16,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,Service delivery; Health information systems; Health workforce,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-017,Number of Intensified Mission Indradhanush sessions held outside the ANM sub-center area/block,Verbatim source-table/text label,Session delivery and quality,Count,count,Source-defined aggregation or count,Not applicable—absolute number of IMI sessions held outside the ANM sub-centre area/block,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-17,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,Service delivery; Health information systems; Health workforce,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-018,Percentage of children due for any vaccine during Intensified Mission Indradhanush,Verbatim source-table/text label,House-to-house monitoring,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children assessed during house-to-house monitoring,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush House-to-house monitoring indicators,HTH-01,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,"Service delivery; Health information systems; Medical products, vaccines and technologies",,IND-UIP-001,Curated concept link to existing registry/HMIS object; definitions remain separate,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-019,Percentage of  children due in Indradhanush that got vaccinated with vaccine(s),Verbatim source-table/text label,House-to-house monitoring,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children due for vaccination during IMI,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush House-to-house monitoring indicators,HTH-02,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,"Service delivery; Health information systems; Medical products, vaccines and technologies",,IND-UIP-002,Curated concept link to existing registry/HMIS object; definitions remain separate,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-020,Percentage of children who received vaccines for the first time in Intensified Mission Indradhanush,Verbatim source-table/text label,House-to-house monitoring,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children vaccinated during IMI,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush House-to-house monitoring indicators,HTH-03,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,"Service delivery; Health information systems; Medical products, vaccines and technologies",,IND-UIP-003,Curated concept link to existing registry/HMIS object; definitions remain separate,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-021,Mobilization efforts: percentage awareness by ASHAs/AWWs/ANMs/others.,Verbatim source-table/text label,House-to-house monitoring,Percentage/proportion,%,(numerator ÷ denominator) × 100,Caregivers/households assessed during house-to-house monitoring,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush House-to-house monitoring indicators,HTH-04,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,Service delivery; Health information systems; Health workforce,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-022,Number of States where Steering Committees meeting held (Oct 2019 and Jan 2020),Verbatim source-table/text label,"Governance, preparedness and communication",Count,count,Source-defined aggregation or count,Not applicable—absolute number of states where Steering Committee meetings were held,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-01,PDF pages 168–171 (printed pages 144–147),State; national,State,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-023,% of States where Task Force meeting held,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,States implementing IMI 2.0,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-02,PDF pages 168–171 (printed pages 144–147),State; national,State,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-024,% of districts where DTFI held,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Districts implementing IMI 2.0,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-03,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-025,% of districts where HRD Department official participated in the DTFI,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Districts implementing IMI 2.0,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-04,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-026,% of districts where Urban Development Authority official participated in the DTFI,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Districts implementing IMI 2.0,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-05,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-027,% of districts where Tribal Affairs Department official participated in the DTFI,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Districts implementing IMI 2.0,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-06,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-028,% of districts where Minority Affairs Department official participated in the DTFI,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Districts implementing IMI 2.0,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-07,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-029,% of districts where WCD Department official participated in the DTFI,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Districts implementing IMI 2.0,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-08,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-030,% of districts where PRI official participated in the DTFI,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Districts implementing IMI 2.0,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-09,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-031,% of districts where Youth Affairs and Sports Department official participated in the DTFI,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Districts implementing IMI 2.0,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-10,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-032,% of block/PUs submitted updated IMI 2.0 microplan at district,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Blocks/planning units where IMI 2.0 is planned,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-11,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-033,% district completed self-assessment,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Districts where IMI 2.0 is planned,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-12,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-034,% district completed iCIP,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Districts where IMI 2.0 is planned,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-13,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-035,% of states where State AEFI committee meeting held,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,States where IMI 2.0 is planned,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-14,PDF pages 168–171 (printed pages 144–147),State; national,State,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-036,% of districts where District AEFI committee meeting held,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Districts where IMI 2.0 is planned,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-15,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-037,% of IMI 2.0 districts with communication plans prepared,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Districts where IMI 2.0 is planned,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-16,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-038,% block/planning units with communication plans prepared,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Blocks/planning units where IMI 2.0 is planned,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-17,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-039,"% of IMI 2.0 districts completed BRIDGE trainings for FLW (ASHA, ANM and AWW)",Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Districts where IMI 2.0 is planned,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-18,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Health workforce,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-040,% IMI 2.0 session sites with IEC material displayed,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,IMI 2.0 session sites visited by district officials,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-19,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-041,% IMI 2.0 districts with media workshops organized,Verbatim source-table/text label,"Governance, preparedness and communication",Percentage/proportion,%,(numerator ÷ denominator) × 100,Districts where IMI 2.0 is planned,Intensified Mission Indradhanush 2.0 Operational Guidelines,Annexure 20: Key dashboard indicators on Immunization (Google-sheet reporting),DASH-20,PDF pages 168–171 (printed pages 144–147),Block/planning unit; district; state; national,Block/planning unit,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-042,Availability,Verbatim source-table/text label,Immunization data quality,Index,assessment score/status,Source-defined assessment or summary statistic,Records and reports assessed for physical/electronic availability,Intensified Mission Indradhanush 2.0 Operational Guidelines,Section 1.8.2: Data Quality Assessment,DQA-01,PDF page 55 (printed page 32),Facility/sub-centre; PHC/block; district; state; national,Facility/sub-centre,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-043,Completeness,Verbatim source-table/text label,Immunization data quality,Index,assessment score/status,Source-defined assessment or summary statistic,Required immunization-related data fields assessed,Intensified Mission Indradhanush 2.0 Operational Guidelines,Section 1.8.2: Data Quality Assessment,DQA-02,PDF page 55 (printed page 32),Facility/sub-centre; PHC/block; district; state; national,Facility/sub-centre,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-044,Agreement,Verbatim source-table/text label,Immunization data quality,Index,assessment score/status,Source-defined assessment or summary statistic,Pairs of documents or reports expected to contain the same data,Intensified Mission Indradhanush 2.0 Operational Guidelines,Section 1.8.2: Data Quality Assessment,DQA-03,PDF page 55 (printed page 32),Facility/sub-centre; PHC/block; district; state; national,Facility/sub-centre,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
IND-UIP3-045,Consistency,Verbatim source-table/text label,Immunization data quality,Index,assessment score/status,Source-defined assessment or summary statistic,Immunization data checks assessed against expected system logic,Intensified Mission Indradhanush 2.0 Operational Guidelines,Section 1.8.2: Data Quality Assessment,DQA-04,PDF page 55 (printed page 32),Facility/sub-centre; PHC/block; district; state; national,Facility/sub-centre,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/IMI_2.0.pdf
