canonicalElementId,canonicalElementLabel,component,facilityTypes,moduleTitles,sourceCodes,absenceClassification,retirementStatus,interpretation,reviewStatus
HMIS-DE-0021,Average response time (call to scene) for all BLS Ambulances in the district during the month,Patient services and utilization,District Headquarters,National Ambulance Services (ALS- Advance Life Support & BLS- Basic Life Support),3.1,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0023,"Beneficiaries diagnosed with mild and moderate Anaemia, put on treatment",Anaemia and nutrition,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Anaemia Mukt Bharat,4.2.3; 5.2.3,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0024,"Beneficiaries diagnosed with Severe Anaemia, put on treatment",Anaemia and nutrition,CHC; Civil Hospital / SDH; District Hospital,Anaemia Mukt Bharat,5.2.4,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0025,Beneficiaries identified with Mild and Moderate Anaemia,Anaemia and nutrition,Block Headquarters; CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Anaemia Mukt Bharat,2.2.1; 4.2.1; 5.2.1,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0026,Beneficiaries identified with Severe Anaemia,Anaemia and nutrition,Block Headquarters; CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Anaemia Mukt Bharat,2.2.2; 4.2.2; 5.2.2,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0027,Biomedical Equipment Management & Maintenance Program,"Medicines, supplies and equipment",CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,QA (Quality Assurance) & BEMMP (Biomedical Equipment Management & Maintenance Program),16.2; 17.2,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0029,Cause wise maternal deaths reported at block level (Home & Transit deaths),Mortality and death review,Block Headquarters,Mortality Details,3.3,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0032,Child Deaths between 1 - below 5 years due to,Mortality and death review,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Details of deaths reported:,14.4; 15.4; 16.4,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0084,Childhood IPD,Childhood illness,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Number of cases of Childhood Diseases,10.2,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0088,Children given following vaccination after 12 months (delayed vaccinations),Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.3; 9.3,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0092,Children received Vitamin A Doses between 9 months and 5 years,Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,CHILD IMMUNISATION,8.8; 9.8,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0095,Coverage under MHS- Menstrual Hygiene Scheme (GOI supported),Adolescent health,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Adolescent Health,11.1; 12.2,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0096,Coverage under Weekly Iron and Folic Acid (WIFS) Supplementation Programme,Anaemia and nutrition,Block Headquarters,Anaemia Mukt Bharat,2.3,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0099,Deaths due to Vector Borne Diseases ( all age groups),Vector-borne diseases,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Details of deaths reported:,14.7; 15.7; 16.8,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0102,Defect,RBSK / child screening,Block Headquarters,Rashtriya Bal Swasthaya Karyakram (RBSK),1.2.4,Outside observed module scope,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0103,Deficiency,RBSK / child screening,Block Headquarters,Rashtriya Bal Swasthaya Karyakram (RBSK),1.2.2,Outside observed module scope,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0104,Deliveries conducted at Home,Delivery and intrapartum care,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Deliveries,2.1,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0105,Dengue & Chikungunya,Vector-borne diseases,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,National Vector Borne Disease Control Programme (NVBDCP),11.3,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0108,Details of deaths reported,Mortality and death review,Block Headquarters,Mortality Details,3.1,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0109,Details of Newborn children,Antenatal care and high-risk pregnancy,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Pregnancy outcome & details of new-born/children,3.4; 4.4,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0110,Developmental delay,RBSK / child screening,Block Headquarters,Rashtriya Bal Swasthaya Karyakram (RBSK),1.2.3,Outside observed module scope,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0111,Diagnostics Tests conducted,STI/RTI services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Diagnostics,14.6; 15.6,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0112,Disease,RBSK / child screening,Block Headquarters,Rashtriya Bal Swasthaya Karyakram (RBSK),1.2.1,Outside observed module scope,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0114,Emergency,Tuberculosis services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,National TB Elimination Programme (NTEP); Patient Services,12.6; 13.5; 14.5,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0129,Emergency admissions/deaths due to,Tuberculosis services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,National TB Elimination Programme (NTEP); Patient Services,13.6; 14.6,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0130,EQAS Compliance,"Medicines, supplies and equipment",CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,QA (Quality Assurance) & BEMMP (Biomedical Equipment Management & Maintenance Program),15.1; 16.1; 17.1,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0133,FEMALE STERILIZATION,Family planning,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Family Planning,8.2,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0134,Follow up in Sterilization,Family planning,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Family Planning,8.19,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0138,Geriatric/Elderly,Tuberculosis services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,National TB Elimination Programme (NTEP); Patient Services,12.1.1; 13.1.1; 14.1.1,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0140,Hb Tests Conducted,STI/RTI services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Diagnostics,13.2; 14.2; 15.2,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0141,Hepatitis B in pregnancy,Antenatal care and high-risk pregnancy,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,National TB Elimination Programme (NTEP); Patient Services,12.13.3; 13.18.3; 14.17.3; 14.19.3,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0142,High Risk /Complicated Pregnancies,Antenatal care and high-risk pregnancy,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Ante Natal Care (ANC) Services & High Risk Pregnancies,1.9,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0143,HIV tests,STI/RTI services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Diagnostics,13.3; 14.3; 15.3,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0144,IFA - Blue (Adolescent 10-19 yrs),Adolescent health,District Headquarters,Other Items,1.2,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0145,IFA Coverage,Anaemia and nutrition,Block Headquarters; CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Anaemia Mukt Bharat,2.1; 4.1; 5.1,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0146,IFA Syrup (Paediatric),Anaemia and nutrition,District Headquarters,Other Items,1.4,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0147,IFA tablets (Red),Anaemia and nutrition,District Headquarters,Other Items,1.1,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0148,IFA- Pink (Junior 5-9 yrs),Anaemia and nutrition,District Headquarters,Other Items,1.3,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0160,Infant Deaths Between more than 28 days and below 12 months due to,Mortality and death review,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Details of deaths reported:,14.3; 15.3; 16.3,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0169,Injectable Contraceptive MPA- First Dose,Family planning,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Family Planning,7.5; 8.8,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0170,Injectable Contraceptive MPA- Fourth and above Dose,Family planning,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Family Planning,7.8; 8.11,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0171,Injectable Contraceptive MPA- Second Dose,Family planning,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Family Planning,7.6; 8.9,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0172,Injectable Contraceptive MPA- Third Dose,Family planning,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Family Planning,7.7; 8.10,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0180,Inpatient by disease/ health condition,Tuberculosis services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,National TB Elimination Programme (NTEP); Patient Services,13.4; 14.4,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0181,Inpatient details,Tuberculosis services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,National TB Elimination Programme (NTEP); Patient Services,13.3; 14.3,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0187,IPD Admission,Tuberculosis services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,National TB Elimination Programme (NTEP); Patient Services,13.3.1; 14.3.1,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0193,IPD Deaths (excluding deaths at Emergency department & Sick Newborn Care Unit (SNCU),Newborn and pregnancy outcomes,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,National TB Elimination Programme (NTEP); Patient Services,13.3.4; 14.3.4,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0199,IPD Discharge,Tuberculosis services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,National TB Elimination Programme (NTEP); Patient Services,13.3.2; 14.3.2,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0210,IPD Referred Out,Tuberculosis services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,National TB Elimination Programme (NTEP); Patient Services,13.3.3; 14.3.3,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0211,Janani Shishu Suraksha Karyakram (JSSK),Tuberculosis services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,National TB Elimination Programme (NTEP); Patient Services,12.7; 13.11; 14.12,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0214,Kala Azar- Rapid Diagnostic Test (RDT),STI/RTI services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,National Vector Borne Disease Control Programme (NVBDCP),11.2,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0215,Live Birth,Antenatal care and high-risk pregnancy,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Pregnancy outcome & details of new-born/children,3.1.1; 4.1.1,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0218,Lymphatic Filariasis,Vector-borne diseases,Civil Hospital / SDH; District Hospital; HWC-SC; Medical College,National Vector Borne Disease Control Programme (NVBDCP); National Vector Borne Disease Control Programme(NVBDCP),10.2; 11.5,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0219,"Major Surgeries excluding Obstetrics, Gynaecology and Ophthalmology",Tuberculosis services,Medical College,National TB Elimination Programme (NTEP),14.8.1.c,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0221,Malaria,Vector-borne diseases,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,National Vector Borne Disease Control Programme (NVBDCP); National Vector Borne Disease Control Programme(NVBDCP),10.1; 11.1,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0228,MALE STERILIZATION,Family planning,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Family Planning,8.1,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0229,Maternal Death in transit to be reported at Block level,Mortality and death review,Block Headquarters,Mortality Details,3.1.2,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0230,Maternal Deaths at facility due to,Mortality and death review,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Details of deaths reported:,14.5; 15.5; 16.5,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0231,Medical Termination of Pregnancy (MTP),Antenatal care and high-risk pregnancy,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Pregnancy outcome & details of new-born/children,4.3,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0232,Microscopy Tests,Vector-borne diseases,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,National Vector Borne Disease Control Programme (NVBDCP),11.1.1,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0237,National Viral Hepatitis Control Program (Diagnosis and Management of viral hepatitis),Tuberculosis services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,National TB Elimination Programme (NTEP); Patient Services,12.13; 13.18; 14.17; 14.19,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0238,Neonatal Deaths up to 4 weeks (0 to 28 days) due to,Mortality and death review,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Details of deaths reported:,14.2; 15.2; 16.2,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0245,New born deaths within 24 hrs(1 to 23 Hrs 59 minutes) of birth at Facility/ Facility to facility in transit,Newborn and pregnancy outcomes,HWC-PHC,Details of deaths reported:,15.1.1.a,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0250,New Cases of Childhood Diseases (0-5 years) & Leprosy (0-14 years) Include new cases of OPD/IPD/Emergency,Leprosy services,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Number of cases of Childhood Diseases,10.1; 9.1,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0253,No. of Childhood Leprosy cases (1-14) reported in a month,Leprosy services,District Headquarters,National Leprosy Eradication Programme (NLEP),4.2,Outside observed module scope,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0257,No. of H/TG people subjected to HIV test at Confirmatory Centre /Stand Alone-ICTC,STI/RTI services,CHC; Civil Hospital / SDH; District Hospital; Medical College,Diagnostics,15.3.4.c,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0261,No. of leprosy patients undergone Reconstructive Surgery in a month,Leprosy services,District Headquarters,National Leprosy Eradication Programme (NLEP),4.4,Outside observed module scope,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0264,No. of new leprosy cases found duringmonthly survey,Leprosy services,District Headquarters,National Leprosy Eradication Programme (NLEP),4.1,Outside observed module scope,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0265,No. of new Leprosy cases with Grade 2 disability reported in a month,Leprosy services,District Headquarters,National Leprosy Eradication Programme (NLEP),4.3,Outside observed module scope,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0267,No. of PW(ANC) subjected to HIV test at Confirmatory Centre /Stand Alone-ICTC,Antenatal care and high-risk pregnancy,HWC-SC,Diagnostics,13.3.3.c,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0271,No. of Subdermal Contraceptive Implant,Family planning,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Family Planning,7.14; 8.17,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0281,Number of Adolescents (10-19 years) registered in Adolescent Friendly Health Clinic (AFHC),Adolescent health,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Adolescent Health,12.1.1,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0287,"Number of anaemic women of reproductive age (non-pregnant, non-lactating) (20- 49 years) put on treatment",Antenatal care and high-risk pregnancy,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC,Anaemia Mukt Bharat,5.2.3.f,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0293,Number of Boys (6th -12th class) provided 4/5 IFA tablets in schools,Anaemia and nutrition,Block Headquarters,Anaemia Mukt Bharat,2.3.1.b,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0294,Number of Boys (6th -12th class) provided albendazole in schools,Anaemia and nutrition,Block Headquarters,Anaemia Mukt Bharat,2.3.2.b,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0295,Number of boys 10-11 years having anaemia (Hb 8.1-11.4 g/dL (deciliter)),Anaemia and nutrition,Block Headquarters,Anaemia Mukt Bharat,2.2.1.c.i,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
